                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 0.3164,                 0.3216,                 1.0057,                0.94699,                 0.9901,                0.98692,                 0.9435,                0.32296,                0.33412,                0.89052,             0.00056379,             0.00056379,             0.00056379
                     37,                0.31217,                0.32114,                0.99678,                0.94862,                0.99551,                0.98248,                0.94559,                0.33411,                0.33927,                0.89406,             0.00055937,             0.00055937,             0.00055937
                     38,                0.31528,                0.31181,                 1.0036,                 0.9433,                0.98693,                0.98813,                0.94835,                0.33606,                0.33543,                0.90415,             0.00055496,             0.00055496,             0.00055496
                     39,                0.30609,                0.31848,                0.99573,                0.95644,                0.97167,                  0.979,                0.93352,                0.34946,                0.32666,                0.90869,             0.00055054,             0.00055054,             0.00055054
                     40,                  0.296,                0.30222,                0.99024,                0.93722,                0.98727,                0.98867,                0.93138,                0.36637,                0.36385,                0.95116,             0.00054612,             0.00054612,             0.00054612
                     41,                0.30869,                0.32306,                0.99451,                0.95762,                 0.9864,                0.99121,                0.95324,                  0.325,                0.33105,                0.88531,              0.0005417,              0.0005417,              0.0005417
                     42,                0.29902,                0.30586,                0.99531,                0.94209,                0.98215,                0.98965,                0.93093,                0.34711,                0.33884,                0.90135,             0.00053728,             0.00053728,             0.00053728
                     43,                0.30047,                0.30637,                0.99656,                0.95058,                0.99587,                0.99172,                0.95063,                0.33244,                0.31451,                0.89997,             0.00053287,             0.00053287,             0.00053287
                     44,                 0.3089,                0.30502,                 1.0008,                0.95033,                0.98563,                0.97935,                0.93986,                0.34179,                0.36883,                0.91004,             0.00052845,             0.00052845,             0.00052845
                     45,                0.29072,                0.29367,                0.98838,                0.92467,                 0.9969,                0.98778,                0.95053,                0.32036,                0.31984,                0.88681,             0.00052403,             0.00052403,             0.00052403
                     46,                0.29723,                0.29776,                0.98852,                0.95333,                0.99283,                0.98791,                 0.9454,                0.32929,                0.32206,                0.89589,             0.00051961,             0.00051961,             0.00051961
                     47,                0.28964,                0.30003,                0.99423,                 0.9341,                 0.9855,                 0.9906,                0.94178,                0.32326,                0.30781,                0.88651,              0.0005152,              0.0005152,              0.0005152
                     48,                 0.2924,                0.28863,                0.98941,                0.95893,                0.98779,                 0.9917,                0.94081,                0.33682,                0.30535,                0.90856,             0.00051078,             0.00051078,             0.00051078
                     49,                 0.2886,                0.29172,                 0.9869,                0.90342,                0.99615,                0.97715,                0.92696,                0.33253,                0.37547,                0.90719,             0.00050636,             0.00050636,             0.00050636
                     50,                0.29022,                0.29968,                0.98579,                0.95062,                0.99303,                 0.9851,                 0.9451,                0.31017,                 0.3257,                0.86625,             0.00050194,             0.00050194,             0.00050194
                     51,                0.29122,                0.29315,                 0.9888,                0.92996,                0.99617,                0.98663,                0.94245,                  0.341,                0.33528,                0.90423,             0.00049752,             0.00049752,             0.00049752
                     52,                0.28928,                0.28086,                0.98599,                0.95331,                 0.9967,                0.98787,                0.94323,                0.32021,                0.30151,                0.88533,             0.00049311,             0.00049311,             0.00049311
                     53,                0.28793,                0.28822,                 0.9871,                0.94357,                0.98185,                0.98338,                0.94112,                 0.3394,                0.33591,                0.90056,             0.00048869,             0.00048869,             0.00048869
                     54,                0.28188,                0.27069,                0.97826,                 0.9546,                0.99739,                0.98465,                0.94798,                0.33223,                0.29639,                0.89727,             0.00048427,             0.00048427,             0.00048427
                     55,                0.28236,                0.27296,                0.98587,                0.95796,                0.99408,                0.98034,                0.93611,                  0.336,                0.33407,                0.89394,             0.00047985,             0.00047985,             0.00047985
                     56,                 0.2856,                0.27405,                0.98609,                0.95348,                0.99087,                0.98436,                0.94768,                0.31945,                0.31309,                0.88127,             0.00047543,             0.00047543,             0.00047543
                     57,                 0.2777,                0.27014,                0.97485,                0.94395,                 0.9899,                 0.9782,                0.94031,                0.31369,                0.30382,                 0.8669,             0.00047102,             0.00047102,             0.00047102
                     58,                0.27092,                0.26775,                0.97583,                0.94695,                0.99889,                 0.9842,                0.93907,                0.32133,                0.31281,                0.88221,              0.0004666,              0.0004666,              0.0004666
                     59,                0.27268,                0.27698,                 0.9789,                0.96072,                0.99376,                0.98864,                0.94253,                0.31958,                0.31297,                0.88767,             0.00046218,             0.00046218,             0.00046218
                     60,                0.27608,                0.26904,                0.97391,                0.94691,                0.98152,                0.99145,                0.95549,                0.30428,                0.29813,                0.86742,             0.00045776,             0.00045776,             0.00045776
                     61,                0.26929,                0.26015,                0.97548,                0.94659,                0.98976,                0.98975,                0.94235,                0.31714,                0.34265,                0.87054,             0.00045335,             0.00045335,             0.00045335
                     62,                0.27093,                0.25778,                0.97294,                0.95591,                0.99186,                0.98645,                 0.9371,                0.30959,                0.30561,                0.87367,             0.00044893,             0.00044893,             0.00044893
                     63,                0.26959,                0.26237,                0.97492,                0.95276,                0.99722,                0.99135,                 0.9452,                0.31837,                0.30934,                0.87845,             0.00044451,             0.00044451,             0.00044451
                     64,                0.26557,                0.26742,                0.97277,                0.95875,                0.99858,                 0.9916,                0.95962,                0.29682,                0.31167,                0.86282,             0.00044009,             0.00044009,             0.00044009
